experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,DT(d5),58,4.130114821969637,3.9302946306238993,0.3,4.838126782403697,3.981696205465988,3.9302946306238993,4.060486259749304,4.135211358829409,4.130114821969637
A,main,DT(d5),59,4.827840408918552,4.017348816201313,0.7,16.787870436230737,3.9331511325319917,4.832631228428103,4.750426297354539,4.017348816201313,4.827840408918552
A,main,DT(d5),60,4.074521018837251,4.373932529856793,0.7,-7.348385482251989,3.8860546608950024,3.9054339009371617,4.200583445890087,4.373932529856793,4.074521018837251
A,main,DT(d5),61,3.9295013691720038,3.9295013691720038,1.0,0.0,3.9433021869027423,3.926506530874273,3.927187873653145,3.9276948539669343,3.9295013691720038
A,main,DT(d3),42,8.412914666476908,8.428720311252501,0.0,-0.1878735896201853,8.428720311252501,8.451367717860421,8.441418663581848,8.425568238433375,8.412914666476908
A,main,DT(d3),43,7.124051071915863,7.124051071915863,1.0,0.0,7.169905876516763,7.153980568437582,7.144396490050943,7.135638646597223,7.124051071915863
A,main,DT(d3),44,8.05274508815421,8.200433777268218,0.7,-1.834016692410405,8.269073373525604,8.24609908916127,8.232596627120984,8.200433777268218,8.05274508815421
A,main,DT(d3),45,7.520421250695962,7.520421250695962,1.0,0.0,7.456074466923464,7.459758377431114,7.501284962642953,7.504512429844028,7.520421250695962
A,main,DT(d3),46,7.475949062373322,7.475949062373322,1.0,0.0,7.674466422953237,7.5088214025416296,7.517467710186658,7.527439832761934,7.475949062373322
A,main,DT(d3),47,7.7981847832482725,7.779229118132041,0.7,0.24307791676020846,8.18299874200046,8.155698086865621,8.13833776362746,7.779229118132041,7.7981847832482725
A,main,DT(d3),48,8.159744210144261,8.18056210001113,0.0,-0.2551291968317854,8.18056210001113,8.160101639125127,8.147735740645963,8.136389369189335,8.159744210144261
A,main,DT(d3),49,7.442992965671061,7.442992965671061,1.0,0.0,8.589708081632578,8.444961266934044,8.354406008499144,8.268604844488873,7.442992965671061
A,main,DT(d3),50,7.7261304881316155,7.7261304881316155,1.0,0.0,8.041597804320993,8.025898704316823,7.999602870159287,7.661197351950342,7.7261304881316155
A,main,DT(d3),51,8.49959002377669,8.49959002377669,1.0,0.0,8.489414946728688,8.491619382669498,8.493422655064979,8.496048262768666,8.49959002377669
A,main,DT(d3),52,7.878121714905428,8.00733223943754,0.0,-1.6401184090320018,8.00733223943754,7.995332944167643,8.00397687757689,8.0115445232756,7.878121714905428
A,main,DT(d3),53,8.098883466524375,8.098883466524375,1.0,0.0,8.568322301921274,8.561742923647435,8.132344842177842,8.10063936562088,8.098883466524375
A,main,DT(d3),54,7.708491584254082,7.708491584254082,1.0,0.0,7.499584079902286,7.635079777821038,7.629965906727726,7.8338134325147335,7.708491584254082
A,main,DT(d3),55,7.948089348597205,7.912706249277766,0.0,0.4451774227435454,7.912706249277766,7.913850517078902,7.914647231691065,7.948405766214297,7.948089348597205
