experiment,condition,model,seed,base_test_acc,best_test_acc,best_val_acc,best_alpha,delta_pp,test_acc_a0.0,test_acc_a0.3,test_acc_a0.5,test_acc_a0.7,test_acc_a1.0
A,main,KNN(k5),43,0.714375,0.715,0.690625,0.7,0.06249999999999867,0.715,0.715625,0.715625,0.715,0.714375
A,main,KNN(k5),44,0.70125,0.706875,0.6572916666666667,0.0,0.5624999999999991,0.706875,0.704375,0.70375,0.703125,0.70125
A,main,KNN(k5),45,0.684375,0.6875,0.709375,0.0,0.31250000000000444,0.6875,0.685625,0.685,0.685,0.684375
A,main,KNN(k5),46,0.70375,0.703125,0.6770833333333334,0.7,-0.06249999999999867,0.7025,0.7025,0.703125,0.703125,0.70375
A,main,KNN(k5),47,0.689375,0.68875,0.6979166666666666,0.0,-0.06249999999999867,0.68875,0.68875,0.689375,0.68875,0.689375
A,main,KNN(k5),48,0.6925,0.693125,0.7114583333333333,0.3,0.06249999999999867,0.694375,0.693125,0.6925,0.691875,0.6925
A,main,KNN(k5),49,0.698125,0.6975,0.7041666666666667,0.0,-0.06249999999999867,0.6975,0.6975,0.6975,0.6975,0.698125
A,main,KNN(k5),50,0.700625,0.703125,0.6927083333333334,0.0,0.24999999999999467,0.703125,0.7025,0.7025,0.701875,0.700625
A,main,KNN(k5),51,0.68375,0.6875,0.6916666666666667,0.0,0.3750000000000031,0.6875,0.68625,0.68625,0.684375,0.68375
A,main,KNN(k5),52,0.696875,0.7,0.7145833333333333,0.0,0.31249999999999334,0.7,0.69875,0.698125,0.69875,0.696875
A,main,KNN(k5),53,0.70375,0.70625,0.7020833333333333,0.0,0.2500000000000058,0.70625,0.70625,0.705,0.70625,0.70375
A,main,KNN(k5),54,0.69375,0.695625,0.7291666666666666,0.0,0.1875000000000071,0.695625,0.695625,0.695625,0.695625,0.69375
A,main,KNN(k5),55,0.708125,0.71125,0.70625,0.0,0.31250000000000444,0.71125,0.71125,0.70875,0.708125,0.708125
A,main,KNN(k5),56,0.705625,0.709375,0.6979166666666666,0.0,0.3750000000000031,0.709375,0.7075,0.7075,0.70625,0.705625
A,main,KNN(k5),57,0.698125,0.70125,0.7114583333333333,0.0,0.31250000000000444,0.70125,0.70125,0.699375,0.7,0.698125
A,main,KNN(k5),58,0.7175,0.72,0.7072916666666667,0.0,0.24999999999999467,0.72,0.719375,0.718125,0.718125,0.7175
A,main,KNN(k5),59,0.68375,0.68375,0.69375,0.0,0.0,0.68375,0.68375,0.683125,0.68375,0.68375
A,main,KNN(k5),60,0.715,0.7175,0.6864583333333333,0.0,0.2500000000000058,0.7175,0.716875,0.71625,0.71625,0.715
A,main,KNN(k5),61,0.711875,0.715625,0.675,0.0,0.374999999999992,0.715625,0.716875,0.71625,0.715625,0.711875
A,main,KNN(k10),42,0.723125,0.723125,0.721875,1.0,0.0,0.72375,0.725,0.725,0.72375,0.723125
A,main,KNN(k10),43,0.739375,0.739375,0.7114583333333333,1.0,0.0,0.7425,0.741875,0.74,0.74,0.739375
A,main,KNN(k10),44,0.72125,0.721875,0.6864583333333333,0.7,0.06250000000000977,0.723125,0.72125,0.721875,0.721875,0.72125
A,main,KNN(k10),45,0.724375,0.726875,0.7364583333333333,0.0,0.2500000000000058,0.726875,0.72625,0.72625,0.725625,0.724375
A,main,KNN(k10),46,0.731875,0.73,0.7260416666666667,0.0,-0.1875000000000071,0.73,0.730625,0.73125,0.730625,0.731875
A,main,KNN(k10),47,0.718125,0.71875,0.7166666666666667,0.0,0.06249999999999867,0.71875,0.718125,0.716875,0.71625,0.718125
A,main,KNN(k10),48,0.71125,0.7125,0.7260416666666667,0.0,0.12499999999999734,0.7125,0.71125,0.710625,0.710625,0.71125
A,main,KNN(k10),49,0.724375,0.725625,0.7229166666666667,0.0,0.12499999999999734,0.725625,0.725,0.72375,0.72375,0.724375
A,main,KNN(k10),50,0.71625,0.72,0.69375,0.0,0.374999999999992,0.72,0.72,0.72,0.72,0.71625
A,main,KNN(k10),51,0.721875,0.726875,0.703125,0.0,0.5000000000000004,0.726875,0.725,0.72375,0.721875,0.721875
A,main,KNN(k10),52,0.72375,0.723125,0.734375,0.0,-0.06249999999999867,0.723125,0.72375,0.7225,0.723125,0.72375
A,main,KNN(k10),53,0.7225,0.724375,0.7229166666666667,0.3,0.187499999999996,0.72375,0.724375,0.725625,0.72375,0.7225
A,main,KNN(k10),54,0.72875,0.728125,0.7510416666666667,0.0,-0.06249999999999867,0.728125,0.729375,0.72875,0.72875,0.72875
A,main,KNN(k10),55,0.741875,0.74125,0.73125,0.5,-0.06249999999999867,0.74375,0.743125,0.74125,0.74125,0.741875
A,main,KNN(k10),56,0.7225,0.721875,0.7229166666666667,0.0,-0.06249999999999867,0.721875,0.720625,0.721875,0.7225,0.7225
A,main,KNN(k10),57,0.72875,0.73125,0.7427083333333333,0.0,0.24999999999999467,0.73125,0.730625,0.73,0.72875,0.72875
A,main,KNN(k10),58,0.738125,0.738125,0.7166666666666667,1.0,0.0,0.74125,0.74,0.739375,0.739375,0.738125
A,main,KNN(k10),59,0.705625,0.70625,0.709375,0.0,0.06250000000000977,0.70625,0.706875,0.705625,0.70625,0.705625
A,main,KNN(k10),60,0.730625,0.73375,0.7125,0.0,0.31250000000000444,0.73375,0.731875,0.731875,0.731875,0.730625
A,main,KNN(k10),61,0.74,0.74,0.70625,0.7,0.0,0.740625,0.740625,0.740625,0.74,0.74
A,main,SVM(rbf),42,0.74625,0.743125,0.7447916666666666,0.3,-0.31249999999999334,0.7425,0.743125,0.745,0.748125,0.74625
A,main,SVM(rbf),43,0.754375,0.75375,0.7322916666666667,0.3,-0.06249999999999867,0.756875,0.75375,0.751875,0.751875,0.754375
A,main,SVM(rbf),44,0.748125,0.750625,0.70625,0.0,0.24999999999999467,0.750625,0.749375,0.746875,0.746875,0.748125
A,main,SVM(rbf),45,0.7375,0.738125,0.753125,0.0,0.06249999999999867,0.738125,0.738125,0.738125,0.738125,0.7375
A,main,SVM(rbf),46,0.75125,0.750625,0.7208333333333333,0.0,-0.06249999999999867,0.750625,0.75125,0.753125,0.751875,0.75125
A,main,SVM(rbf),47,0.750625,0.750625,0.725,1.0,0.0,0.7475,0.746875,0.745625,0.7475,0.750625
A,main,SVM(rbf),48,0.726875,0.7225,0.775,0.0,-0.4375000000000018,0.7225,0.72375,0.725,0.725625,0.726875
A,main,SVM(rbf),49,0.741875,0.739375,0.7302083333333333,0.3,-0.24999999999999467,0.74125,0.739375,0.74125,0.738125,0.741875
A,main,SVM(rbf),50,0.735,0.73375,0.753125,0.5,-0.12499999999999734,0.730625,0.733125,0.73375,0.731875,0.735
A,main,SVM(rbf),51,0.74875,0.7475,0.7364583333333333,0.3,-0.12499999999999734,0.7475,0.7475,0.748125,0.74875,0.74875
A,main,SVM(rbf),52,0.75,0.745625,0.7447916666666666,0.7,-0.4375000000000018,0.75,0.75125,0.7475,0.745625,0.75
A,main,SVM(rbf),53,0.738125,0.738125,0.7458333333333333,1.0,0.0,0.738125,0.738125,0.73875,0.740625,0.738125
A,main,SVM(rbf),54,0.74375,0.744375,0.75,0.0,0.06249999999999867,0.744375,0.7425,0.7425,0.7425,0.74375
A,main,SVM(rbf),55,0.7575,0.76125,0.7583333333333333,0.0,0.3750000000000031,0.76125,0.756875,0.75625,0.75875,0.7575
A,main,SVM(rbf),56,0.734375,0.735,0.734375,0.3,0.06249999999999867,0.734375,0.735,0.73375,0.733125,0.734375
A,main,SVM(rbf),57,0.76,0.76125,0.7635416666666667,0.0,0.12499999999999734,0.76125,0.76125,0.76,0.761875,0.76
A,main,SVM(rbf),58,0.754375,0.754375,0.7291666666666666,0.5,0.0,0.75375,0.754375,0.754375,0.755,0.754375
A,main,SVM(rbf),59,0.7325,0.735625,0.7489583333333333,0.0,0.31249999999999334,0.735625,0.7375,0.736875,0.7325,0.7325
A,main,SVM(rbf),60,0.74,0.73875,0.7291666666666666,0.7,-0.12499999999999734,0.73875,0.741875,0.740625,0.73875,0.74
A,main,SVM(rbf),61,0.760625,0.76,0.7208333333333333,0.3,-0.06249999999999867,0.76375,0.76,0.76,0.760625,0.760625
A,main,Logistic,42,0.4375,0.43875,0.44166666666666665,0.7,0.12499999999999734,0.43875,0.44,0.439375,0.43875,0.4375
