experiment,model,seed,standard,LS(0.01),LS(0.05),LS(0.1),LS(0.3),EarlyStop,L2reg
F,MLP(4),56,4.877357862566987,4.978288327209752,6.283306698871778,4.815192268203585,3.5593384441309253,5.151797875849219,6.379835617771701
F,MLP(8),56,4.80889198837651,2.648206441249661,3.1274101932059315,2.7996344113888063,3.159851959934594,4.135475555176653,3.493051569837641
F,MLP(16),56,4.11036963923529,2.3184396396885965,2.138014031305643,2.471165349728209,2.5906774500456686,2.852513312124129,2.2859799682328665
F,MLP(8x2),56,1.6335051333079103,2.3203720491020996,1.5826180066355604,1.1871568068503882,1.0463468627679195,0.9456063643875944,1.8319016183994794
F,MLP(16x2),56,0.42224141818997557,0.3820980926990145,0.40346898459495434,0.34535693573930226,0.3797673354349186,0.9615711609546052,0.4504584855846393
F,MLP(4),57,4.053875887564788,4.9760409602157525,5.399659773072261,5.1123603284717545,4.985608321763668,8.73748607571276,6.318559629907498
F,MLP(8),57,2.7955869410397653,4.746728633751183,4.513173227453112,3.7076360756824296,2.7639730350686795,4.689436688960881,4.949558133899027
F,MLP(16),57,1.5447600700365682,2.0828360430967225,1.360805281337554,1.600912557733961,1.7482171945656029,3.8433821692913996,2.0025694695537246
F,MLP(8x2),57,0.8494784304908378,0.9395208724395506,1.5271158911164555,1.324199384445575,0.6718909684963961,1.5978522154491033,0.6998334139909108
F,MLP(16x2),57,0.3461433763927476,0.3238782418136631,0.3252639157566462,0.281112170634873,0.36720054438147404,1.2608107329541398,0.3323098895938397
F,MLP(4),58,5.137705029502828,5.323183577592954,11.274720661665713,5.085615075287093,5.024975635416621,5.298838520409378,11.201462490386975
F,MLP(8),58,3.32925408626486,4.795306638816254,4.764567443998311,4.843308146425413,4.731993778318645,4.3764737723445455,3.3744212146535775
F,MLP(16),58,2.5700632292960055,2.592921413899262,2.4352146475040723,3.0028171707053732,3.2912567901556815,4.811152139239147,2.6536177532547702
F,MLP(8x2),58,1.5632889506288346,1.7326071433298331,1.1176458798056594,1.2151035344006045,0.5163146828160906,2.2861059309344034,1.5225661995741626
F,MLP(16x2),58,0.33919728268396854,0.3203489904871491,0.3691240760845128,0.41128144178381393,0.3215093284266517,1.0088317403241527,0.388202497360109
F,MLP(4),59,4.962915810168896,6.945079634023164,4.82449397020242,5.098899471674487,5.107607175261193,5.082356967106604,11.233324292017732
F,MLP(8),59,2.6991924808369623,4.244891860885758,4.703116583856741,2.901250691328777,4.646051947820244,4.365912777963424,2.9136433743841152
F,MLP(16),59,1.7020791858483404,1.9230803468645827,1.9244910484559161,2.1517217382404628,2.5665104822976965,3.447701928048508,2.4286837642904238
F,MLP(8x2),59,1.2906292631821672,0.9116358832140964,1.4708464964464067,2.921268314969068,1.4619873327527801,1.4328307966653788,1.628311845556635
F,MLP(16x2),59,0.5446675098056956,0.7184436312597546,0.40462322101333825,0.5065048655232357,0.4413874981054612,0.518517228728166,0.4940602973655188
F,MLP(4),60,4.757072529127929,4.940873106921251,3.972082829703976,4.7143748411067845,5.001761141412898,5.006402504462701,4.73575644517014
F,MLP(8),60,2.4117079369058536,4.722309318244468,4.4903890559016055,3.793910803001375,2.648577821856255,4.544231550109832,3.679530969809849
F,MLP(16),60,2.367198451379868,2.2011672819109505,1.4890993893623847,1.9948888584161113,1.5989150382677846,3.809231676809429,2.131188440871103
F,MLP(8x2),60,0.7759948972672155,1.2821494817909633,0.5582025164318626,0.492313046317618,1.5098881140972236,1.476564422545026,1.0830004027635
